id;requisition_no;request_date;requester;status;required_date;location;tel;remarks;remarks_content_type;smrno;smrrevo;costcode;attachement_uri;deleted;delete_date;deleted_by
1;Cliffs Orchard;2022-05-19T14:17:46;Web;Savings;2022-05-20;integrated disintermediate PNG;Borders Ergonomic;../fake-data/blob/hipster.png;image/png;vortals Investment Account;yellow Wall azure;payment;Customer;true;2022-05-20T01:45:35;Fords
2;tan bypassing Georgia;2022-05-19T17:57:15;input US virtual;array;2022-05-19;FTP;Chips Fish front-end;../fake-data/blob/hipster.png;image/png;District revolutionize;Guam;Bedfordshire Soap visionary;Account up Fresh;false;2022-05-20T07:06:16;Generic Soap
3;utilisation;2022-05-19T15:15:57;application;alarm Tenge;2022-05-20;extensible system global;Designer online;../fake-data/blob/hipster.png;image/png;and;Regional Tennessee purple;Licensed Auto;Quality drive Branding;false;2022-05-20T01:14:33;Loan payment
4;Business-focused application Borders;2022-05-19T23:10:45;white;Lek Handcrafted;2022-05-19;Up-sized Auto;relationships;../fake-data/blob/hipster.png;image/png;analyzing schemas AGP;Way SQL;Serbian AGP;Cambridgeshire solution;false;2022-05-19T11:22:23;bypass Orchestrator calculate
5;up copy;2022-05-19T15:40:03;Market Interactions Applications;1080p;2022-05-20;Peso networks;card;../fake-data/blob/hipster.png;image/png;SMTP bandwidth-monitored;Shoes;Andorra;Cambridgeshire;true;2022-05-19T23:52:31;Rupee Distributed intranet
6;Pitcairn;2022-05-20T07:23:43;Music Music Group;Mouse;2022-05-20;copying;deposit;../fake-data/blob/hipster.png;image/png;Automotive transmitter e-commerce;Investor Sports implementation;Plastic Loan International;Rwanda Representative interface;false;2022-05-20T03:35:16;Intelligent
7;card Palladium leading-edge;2022-05-19T14:27:52;Philippine Engineer;Buckinghamshire Customer Streamlined;2022-05-19;implementation contingency Movies;Infrastructure;../fake-data/blob/hipster.png;image/png;copy PNG grey;connect Licensed Lilangeni;deposit Ergonomic bandwidth;didactic Grocery;true;2022-05-20T02:20:34;Ball
8;bypassing Guarani Officer;2022-05-20T08:42:54;Robust complexity brand;Chair Granite;2022-05-20;Functionality;Fish Awesome;../fake-data/blob/hipster.png;image/png;maximize Chief Toys;Peso;Alaska;invoice Plastic Metal;true;2022-05-20T00:56:16;Gorgeous
9;Music portals;2022-05-19T11:15:16;Baby;enterprise cross-platform;2022-05-20;Borders;supply-chains face;../fake-data/blob/hipster.png;image/png;United Concrete Factors;incentivize mission-critical;compress virtual hybrid;unleash Books;false;2022-05-19T23:35:45;Samoa back-end Administrator
10;Technician Dollar;2022-05-20T02:03:44;Soft circuit;Electronics District;2022-05-19;Pennsylvania;multi-state;../fake-data/blob/hipster.png;image/png;SDD attitude initiative;synthesize Auto Mountains;Security Connecticut Cotton;Awesome;false;2022-05-20T01:50:56;interactive Object-based
